date,yellow_tub,species_card,species,number,treatment,name,event,Y_II (PAM),n,int_mean,int_std_dev,int_mode,red_mean,red_std_dev,red_mode,green_mean,green_std_dev,green_mode,blue_mean,blue_std_dev,blue_mode
21_11_14,3,11,cham,7,mid,M_3,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,11,calli,5,mid,M_3,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,11,chillensis,3,mid,M_3,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,26,cham,32,low,L_8,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,26,calli,37,low,L_8,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,26,chillensis,24,low,L_8,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,12,cham,13,mid,M_4,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,12,calli,27,mid,M_4,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,12,chillensis,17,mid,M_4,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,4,cham,3,mid,M_2,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,4,calli,23,mid,M_2,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,4,chillensis,5,mid,M_2,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,5,cham,34,high,H_1,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,5,calli,14,high,H_1,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,5,chillensis,8,high,H_1,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,13,cham,8,high,H_3,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,13,calli,18,high,H_3,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,13,chillensis,7,high,H_3,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,24,cham,18,control,C_6,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,24,calli,6,control,C_6,post_stress_5,,,,,,,,,,,,,,
21_11_14,3,24,chillensis,28,control,C_6,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,21,cham,2,high,H_5,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,21,calli,32,high,H_5,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,21,chillensis,1,high,H_5,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,27,cham,30,mid,M_7,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,27,calli,26,mid,M_7,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,27,chillensis,12,mid,M_7,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,31,cham,39,control,C_7,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,31,calli,40,control,C_7,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,31,chillensis,11,control,C_7,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,3,cham,31,mid,M_1,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,3,calli,33,mid,M_1,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,3,chillensis,2,mid,M_1,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,18,cham,19,low,L_6,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,18,calli,38,low,L_6,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,18,chillensis,13,low,L_6,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,8,cham,36,control,C_2,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,8,calli,29,control,C_2,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,8,chillensis,14,control,C_2,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,19,cham,11,mid,M_5,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,19,calli,13,mid,M_5,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,19,chillensis,15,mid,M_5,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,29,cham,33,high,H_7,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,29,calli,3,high,H_7,post_stress_5,,,,,,,,,,,,,,
21_11_14,4,29,chillensis,27,high,H_7,post_stress_5,,,,,,,,,,,,,,
