yellow_tub,event,id,int_mean,pre_stress_g,post_stress_7g,change_g7,species,treatment
3,post_stress_7,cham_4,52.248,64.284,52.248,-12.036,cham,mid
3,post_stress_7,calli _4,58.283,60.936,58.283,-2.653,calli,mid
3,post_stress_7,chillensis_4,58.973,53.865,58.973,5.108,chillensis,mid
3,post_stress_7,cham_5,44.226,52.813,44.226,-8.587,cham,high
3,post_stress_7,calli _5,51.078,55.296,51.078,-4.218,calli,high
3,post_stress_7,chillensis_5,55.601,51.685,55.601,3.916,chillensis,high
3,post_stress_7,cham_13,36.099,39.31,36.099,-3.211,cham,high
3,post_stress_7,calli _13,53.302,45.27,53.302,8.032,calli,high
3,post_stress_7,chillensis_13,66.597,59.737,66.597,6.86,chillensis,high
3,post_stress_7,cham_24,50.804,52.595,50.804,-1.791,cham,control
3,post_stress_7,calli _24,69.712,62.977,69.712,6.735,calli,control
3,post_stress_7,chillensis_24,53.143,42.597,53.143,10.546,chillensis,control
4,post_stress_7,cham_21,54.031,55.534,54.031,-1.503,cham,high
4,post_stress_7,calli _21,64.625,47.689,64.625,16.936,calli,high
4,post_stress_7,chillensis_21,65.654,46.586,65.654,19.068,chillensis,high
4,post_stress_7,cham_27,46.503,46.326,46.503,0.177,cham,mid
4,post_stress_7,calli _27,58.489,54.592,58.489,3.897,calli,mid
4,post_stress_7,chillensis_27,62.83,50.057,62.83,12.773,chillensis,mid
4,post_stress_7,cham_31,44.762,52.861,44.762,-8.099,cham,control
4,post_stress_7,calli _31,55.682,61.185,55.682,-5.503,calli,control
4,post_stress_7,chillensis_31,58.595,58.387,58.595,0.208,chillensis,control
4,post_stress_7,cham_3,33.167,38.462,33.167,-5.295,cham,mid
4,post_stress_7,calli _3,54.688,61.237,54.688,-6.549,calli,mid
4,post_stress_7,chillensis_3,60.898,55.04,60.898,5.858,chillensis,mid
4,post_stress_7,cham_18,30.334,44.809,30.334,-14.475,cham,low
4,post_stress_7,calli _18,48.168,56.848,48.168,-8.68,calli,low
4,post_stress_7,chillensis_18,51.455,53.914,51.455,-2.459,chillensis,low
4,post_stress_7,cham_8,42.809,47.354,42.809,-4.545,cham,control
4,post_stress_7,calli _8,45.442,41.806,45.442,3.636,calli,control
4,post_stress_7,chillensis_8,48.264,45.994,48.264,2.27,chillensis,control
4,post_stress_7,cham_19,37.232,42.864,37.232,-5.632,cham,mid
4,post_stress_7,calli _19,54.048,45.137,54.048,8.911,calli,mid
4,post_stress_7,chillensis_19,66.947,57.054,66.947,9.893,chillensis,mid
4,post_stress_7,cham_29,31.357,37.326,31.357,-5.969,cham,high
4,post_stress_7,calli _29,70.421,64.223,70.421,6.198,calli,high
4,post_stress_7,chillensis_29,58.673,52.48,58.673,6.193,chillensis,high
